Tissue,Species,Activity,Site,Enzyme
Gill,M. trossulus,42.3108,Lab,MDH
Gill,M. trossulus,54.1604,Lab,MDH
Gill,M. trossulus,56.1568,Lab,MDH
Gill,M. trossulus,50.1032,Lab,MDH
Gill,M. trossulus,35.742,Lab,MDH
Gill,M. trossulus,52.808,Lab,MDH
Gill,M. trossulus,56.4144,Lab,MDH
Gill,M. trossulus,58.8616,Lab,MDH
Gill,M. trossulus,54.3536,Lab,MDH
Gill,M. trossulus,54.3536,Lab,MDH
Gill,M. trossulus,60.4716,Lab,MDH
Gill,M. trossulus,43.9208,Lab,MDH
Gill,M. trossulus,48.1068,Lab,MDH
Gill,M. trossulus,39.7992,Lab,MDH
Gill,M. trossulus,39.9924,Lab,MDH
Gill,M. trossulus,47.012,Lab,MDH
Adductor Muscle,M. trossulus,91.5768,Lab,MDH
Adductor Muscle,M. trossulus,89.1296,Lab,MDH
Adductor Muscle,M. trossulus,80.8864,Lab,MDH
Adductor Muscle,M. trossulus,68.5216,Lab,MDH
Adductor Muscle,M. trossulus,67.1048,Lab,MDH
Adductor Muscle,M. trossulus,99.4336,Lab,MDH
Adductor Muscle,M. trossulus,140.1344,Lab,MDH
Adductor Muscle,M. trossulus,71.0976,Lab,MDH
Adductor Muscle,M. trossulus,78.9544,Lab,MDH
Adductor Muscle,M. trossulus,97.6304,Lab,MDH
Adductor Muscle,M. trossulus,83.9776,Lab,MDH
Adductor Muscle,M. trossulus,86.5536,Lab,MDH
Mantle,M. trossulus,34.9692,Lab,MDH
Mantle,M. trossulus,40.894,Lab,MDH
Mantle,M. trossulus,28.98,Lab,MDH
Mantle,M. trossulus,32.522,Lab,MDH
Mantle,M. trossulus,27.6276,Lab,MDH
Mantle,M. trossulus,49.9744,Lab,MDH
Mantle,M. trossulus,40.7652,Lab,MDH
Mantle,M. trossulus,38.8332,Lab,MDH
Mantle,M. trossulus,42.3752,Lab,MDH
Mantle,M. trossulus,53.2588,Lab,MDH
Mantle,M. trossulus,21.574,Lab,MDH
Mantle,M. trossulus,28.7868,Lab,MDH
Gill,M. galloprovincialis,46.368,Lab,MDH
Gill,M. galloprovincialis,24.0856,Lab,MDH
Gill,M. galloprovincialis,43.6632,Lab,MDH
Gill,M. galloprovincialis,43.148,Lab,MDH
Gill,M. galloprovincialis,54.096,Lab,MDH
Gill,M. galloprovincialis,44.0496,Lab,MDH
Gill,M. galloprovincialis,36.5148,Lab,MDH
Gill,M. galloprovincialis,51.6488,Lab,MDH
Gill,M. galloprovincialis,41.6668,Lab,MDH
Gill,M. galloprovincialis,47.9136,Lab,MDH
Gill,M. galloprovincialis,43.792,Lab,MDH
Gill,M. galloprovincialis,35.3556,Lab,MDH
Gill,M. galloprovincialis,27.4344,Lab,MDH
Gill,M. galloprovincialis,34.776,Lab,MDH
Gill,M. galloprovincialis,43.7276,Lab,MDH
Gill,M. galloprovincialis,23.7636,Lab,MDH
Gill,M. galloprovincialis,38.2536,Lab,MDH
Gill,M. galloprovincialis,43.5344,Lab,MDH
Adductor Muscle,M. galloprovincialis,54.9976,Lab,MDH
Adductor Muscle,M. galloprovincialis,44.436,Lab,MDH
Adductor Muscle,M. galloprovincialis,53.3232,Lab,MDH
Adductor Muscle,M. galloprovincialis,72.772,Lab,MDH
Adductor Muscle,M. galloprovincialis,50.3608,Lab,MDH
Adductor Muscle,M. galloprovincialis,39.284,Lab,MDH
Adductor Muscle,M. galloprovincialis,33.1016,Lab,MDH
Adductor Muscle,M. galloprovincialis,34.132,Lab,MDH
Adductor Muscle,M. galloprovincialis,51.9064,Lab,MDH
Adductor Muscle,M. galloprovincialis,44.436,Lab,MDH
Adductor Muscle,M. galloprovincialis,69.4232,Lab,MDH
Adductor Muscle,M. galloprovincialis,60.0208,Lab,MDH
Mantle,M. galloprovincialis,15.3916,Lab,MDH
Mantle,M. galloprovincialis,15.2628,Lab,MDH
Mantle,M. galloprovincialis,35.5488,Lab,MDH
Mantle,M. galloprovincialis,41.0228,Lab,MDH
